문서id,발행일,담당부서,제목,앞두문장,자동제안,강도,자동근거,확정분류(사람이 채움),비고
fsc-85364,2025-09-23,금융안전과,국민의 아이디어로 보이스피싱 막는다 - 대국민 「보이스피싱 정책·홍보 아이디어 공모전」 개최,“국민의 아이디어로 보이스피싱 막는다” / - 대국민 「보이스피싱 정책·홍보 아이디어 공모전」 개최 -,C,C,"경보어는 있으나 수법 묘사 없음(수법,사기)",,
fsc-85526,2025-10-29,금융안전과,｢보이스피싱 정보공유·분석 AI 플랫폼(ASAP : 에이샙)｣으로 국민의 생명과 재산을 지켜내겠습니다.,｢보이스피싱 정보공유·분석 AI 플랫폼 (ASAP : 에이샙) ｣으로 / 국민의 생명과 재산을 지켜내겠습니다 .,C,C,"경보어는 있으나 수법 묘사 없음(수법,사기)",,
fsc-85644,2025-11-14,금융안전과,"쉽고 간편한 오픈뱅킹, 보이스피싱이 염려된다면” 오픈뱅킹 안심차단서비스로 예방하세요 - 보이스피싱 피해 방지를 위한 ｢오픈뱅킹 안심차단서비스｣ 시행","“ 쉽고 간편한 오픈뱅킹, 보이스피싱이 염려된다면 ” / 오픈뱅킹 안심차단서비스로 예방하세요",C,C,"경보어는 있으나 수법 묘사 없음(유의,사기)",,
fsc-85959,2025-12-30,금융안전과,"당정, 「보이스피싱 근절 종합대책」 추진상황 점검","당정, 「보이스피싱 근절 종합대책」 / 추진상황 점검",C,C,"경보어는 있으나 수법 묘사 없음(주의,수법)",,
fsc-86063,2026-01-15,금융안전과,선제적 보이스피싱 의심거래 차단을 위한 의심정보 공유·활용의 근거를 마련하였습니다. - ｢통신사기피해환급법｣ 개정안 국회 본회의 통과 -,선제적 보이스피싱 의심거래 차단을 위한 의심정보 공유·활용의 근거를 마련하였습니다 . / - ｢통신사기피해환급법｣ 개정안 국회 본회의 통과 -,C,C,"경보어는 있으나 수법 묘사 없음(유의,수법)",,
fsc-86135,2026-01-26,가계금융과,앞으로는 한 번의 피해신고로 불법사금융을 차단합니다.,*자세한 내용은 첨부 파일을 확인하세요. / 첨부파일 (2) 첨부파일 목록,C,C,B·A 요건 미달,,
fsc-86139,2026-01-27,가계금융과,앞으로는 한 번의 피해신고로 불법사금융을 차단합니다. - 불법사금융 원스톱 종합·전담 지원체계 기반 마련을 위한 대부업법 시행령 개정안 입법예고 -,앞으로는 한 번의 피해신고로 불법사금융을 차단합니다. / - 불법사금융 원스톱 종합·전담 지원체계 기반 마련을 위한,C,C,B·A 요건 미달,,
fsc-86149,2026-01-28,금융안전과,「ASAP*」 출범 후 12주간(’25.10.29~’26.1.21) 총 186.5억원의 보이스피싱 피해를 막아냈습니다.,「ASAP * 」 출범 후 12주간 (’25.10.29~’26.1.21) / 총 186.5억원 의 보이스피싱 피해를 막아냈습니다.,C,C,"경보어는 있으나 수법 묘사 없음(수법,사기)",,
fsc-86220,2026-02-06,가계금융과,불법사금융 근절을 위한 범정부 TF회의 개최 - 불법사금융 원스톱 종합ㆍ전담 지원체계 운영 위한 협약식 체결 -,불법사금융 근절을 위한 범정부 TF회의 개최 / - 불법사금융 원스톱 종합 ㆍ 전담 지원체계 운영 위한 협약식 체결 -,C,C,"경보어는 있으나 수법 묘사 없음(유의,수법)",,
fsc-86332,2026-02-25,금융안전과,"정부의 보이스피싱 범죄에 대한 강력 대응 결과, 전년 동기 대비 ‘4개월 연속 피해 감소’ - 기존 8.28 보이스피싱 종합대책 과제 지속 보완 및 추가 신규 보완과제 발굴 -","정부의 보이스피싱 범죄에 대한 강력 대응 결과, / 전년 동기 대비 ‘4개월 연속 피해 감소’",C,C,"경보어는 있으나 수법 묘사 없음(수법,사기)",,
fsc-86417,2026-03-09,가계금융과,앞으로는 한 번의 신고로 불법추심을 차단하고 피해구제를 받을 수 있게 됩니다. - 불법사금융 근절을 위한 원스톱 종합·전담 지원시스템 관련 현장 간담회 및 유관기관 협약식 개최 -,앞으로는 한 번의 신고 로 불법추심을 차단 하고 피해구제 를 받을 수 있게 됩니다. / - 불법사금융 근절 을 위한 원스톱 종합·전담 지원시스템 관련,C,C,"수법어는 있으나 경보어 없음(빙자,유도)",,
fsc-86446,2026-03-13,금융안전과,가상자산을 악용한 보이스피싱 범죄까지 빈틈없이 대응합니다. - ｢통신사기피해환급법｣ 개정안 국회 본회의 통과 -,가상자산을 악용한 보이스피싱 범죄까지 / 빈틈없이 대응합니다.,C,C,"경보어는 있으나 수법 묘사 없음(수법,사기)",,
fsc-86607,2026-04-01,금융안전과,"보이스피싱 범죄! 금융회사·통신사·수사기관이 원팀으로 더 빠르고, 더 강력히 대응해 나겠습니다. 「전기통신금융사기 피해 방지 및 피해금 환급에 관한 특별법」 시행령 및 하위규정 개정안 입법예고(‘26.4.2.~ ’26.5.12.(40일))","보이스피싱 범죄! 금융회사·통신사·수사기관이 원팀 으로 / 더 빠르고 , 더 강력히 대응해 나겠습니다.",C,C,"경보어는 있으나 수법 묘사 없음(수법,사기)",,
fsc-86603,2026-04-01,가계금융과,"한 번의 신고로 불법추심 ‘뚝’, 불법사금융 원스톱 종합·전담 지원 체계가 안착되고 있습니다 - 5주간 불법사금융 피해자 131명 지원, 원스톱 종합·전담 지원체계 강화를 위한 유관기관 간담회 개최","한 번의 신고로 불법추심 ‘뚝’ , 불법사금융 / 원스톱 종합·전담 지원 체계가 안착되고 있습니다",C,C,"수법어는 있으나 경보어 없음(유도,설치하도록)",,
fsc-86656,2026-04-08,금융안전과,가상자산 계좌를 통한 보이스피싱 예방을 위해 가상자산거래소의 ｢강화된 출금 지연 제도｣가 시행됩니다.,가상자산 계좌를 통한 보이스피싱 예방을 위해 / 가상자산거래소의 ｢강화된 출금 지연 제도｣가 시행됩니다.,C,C,경보어는 있으나 수법 묘사 없음(사기),,
fsc-86796,2026-04-28,가계금융과,"불법사금융 신고의 문턱은 낮추고, 범죄 차단속도는 높이겠습니다. - 「대부업법」 시행령 개정안 국무회의 의결","불법사금융 신고의 문턱은 낮추고 , / 범죄 차단속도는 높이겠습니다 .",C,C,"수법어는 있으나 경보어 없음(빙자,요구하)",,
